Job_Title,Department,Salary
POLICE OFFICER,DEPARTMENT OF POLICE,79974
FILTRATION ENGINEER IV,DEPT OF WATER MANAGEMENT,98496
POLICE OFFICER,DEPARTMENT OF POLICE,101412
LIEUTENANT,FIRE DEPARTMENT,127410
ADMINISTRATIVE SERVICES OFFICER II EXCLD,DEPARTMENT OF PLANNING AND DEVELOPMENT,66804
POLICE OFFICER,DEPARTMENT OF POLICE,108822
CIVIL ENGINEER IV,DEPARTMENT OF AVIATION,102996
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
POLICE OFFICER,DEPARTMENT OF POLICE,97974
BUILDING/CONSTRUCTION INSPECTOR,DEPT OF BUILDINGS,97032
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
SERGEANT,DEPARTMENT OF POLICE,129666
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
COORDINATING PLANNER,CHICAGO DEPT OF TRANSPORTATION,107748
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,55932
SERGEANT,DEPARTMENT OF POLICE,125634
SERGEANT,DEPARTMENT OF POLICE,133860
BUILDING/CONSTRUCTION INSPECTOR,DEPT OF BUILDINGS,135684
ASST CORPORATION COUNSEL III,DEPARTMENT OF LAW,106704
ADMINISTRATIVE ASST II,FAMILY AND SUPPORT SERVICES,82500
SANITARY ENGINEER II,DEPT OF WATER MANAGEMENT,85044
DIR OF PUBLIC AFFAIRS,DEPT OF HOUSING,109908
SR TESTING / ASSESSMENT SPEC,DEPARTMENT OF HUMAN RESOURCES,101580
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,61308
POLICE COMMUNICATIONS OPERATOR II,OFFICE OF EMERGENCY MANAGEMENT,67284
STAFF ASST,FAMILY AND SUPPORT SERVICES,108996
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE,51600
PROJECT COORD,DEPARTMENT OF FINANCE,69984
LIEUTENANT,DEPARTMENT OF POLICE,145854
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,101412
ACCOUNTING TECHNICIAN,DEPARTMENT OF FINANCE,59004
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,80448
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,94152
FIREFIGHTER-EMT,FIRE DEPARTMENT,94152
BATTALION CHIEF - EMT,FIRE DEPARTMENT,165858
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,69972
POLICE OFFICER,DEPARTMENT OF POLICE,104934
ENGINEERING TECHNICIAN VI,CHICAGO DEPT OF TRANSPORTATION,125292
ASST DISTRICT SUPERINTENDENT,DEPT OF WATER MANAGEMENT,120536.04
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,58560
POLICE OFFICER,DEPARTMENT OF POLICE,56040
CASE LIAISON - COPA,COPA,64740
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,125634
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ASST PAYROLL ADMINISTRATOR,PUBLIC SAFETY ADMINISTRATION,74424
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,110178
SHIFT SUPVSR OF AIRPORT GROUND TRANSPORTATION,DEPARTMENT OF AVIATION,60876
POLICE OFFICER,DEPARTMENT OF POLICE,79974
PARAMEDIC I/C (ASSIGNED AS TRAINING INSTRUCTOR),FIRE DEPARTMENT,112218
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
PARKING INVESTIGATOR,DEPARTMENT OF FINANCE,86328
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,38868
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,129666
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,88896
ASST CORPORATION COUNSEL III,DEPARTMENT OF LAW,106704
WEB AUTHOR,CITY CLERK,108996
PSYCHIATRIC NURSE PRACTIONER,DEPARTMENT OF PUBLIC HEALTH,120204
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,107652
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,79974
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
ENGINEERING TECHNICIAN IV,CHICAGO DEPT OF TRANSPORTATION,82500
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,79974
COMMANDER,DEPARTMENT OF POLICE,175944
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),DEPARTMENT OF POLICE,114282
FIREFIGHTER-EMT,FIRE DEPARTMENT,94152
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
CAPTAIN-EMT,FIRE DEPARTMENT,151764
POLICE OFFICER,DEPARTMENT OF POLICE,101412
WATER METER ASSESSOR,DEPT OF WATER MANAGEMENT,73464
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,106170
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ADMINISTRATIVE ASST II,DEPARTMENT OF AVIATION,71784
POLICE OFFICER,DEPARTMENT OF POLICE,88896
POLICE OFFICER,DEPARTMENT OF POLICE,97974
LIEUTENANT,DEPARTMENT OF POLICE,150318
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER,DEPARTMENT OF POLICE,79974
SHIFT SUPVSR OF AVIATION SECURITY,DEPARTMENT OF AVIATION,77892
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,110178
PARAMEDIC FIELD CHIEF,FIRE DEPARTMENT,156396
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,106170
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,79974
BUILDING/CONSTRUCTION INSPECTOR,DEPT OF BUILDINGS,112668
STAFF ASST TO THE ALDERMAN,CITY COUNCIL,60000
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,94152
ASST TO THE COMMISSIONER,DEPARTMENT OF PROCUREMENT SERV,69060
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
PUBLIC HEALTH ADMINISTRATOR II,DEPARTMENT OF PUBLIC HEALTH,108996
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,97974
CLERK - BD OF ELECTIONS,BOARD OF ELECTION COMMISSIONER,40416
AMERICAN SIGN LANGUAGE INTERPRETER,MAYORS OFFICE-DISABILITIES,75720
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),DEPARTMENT OF POLICE,117690
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,113568
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
DIR OF INFORMATION SYSTEMS,DAIS,138384
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE DEPARTMENT,125202
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
POLICE OFFICER,DEPARTMENT OF POLICE,93264
ASST CHIEF AIRPORT OPERATIONS SUPVSR,DEPARTMENT OF AVIATION,135684
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,101262
DEPUTY MANAGING EDITOR COUNCIL JOURNAL,CITY CLERK,119436
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,88770
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,104934
SERGEANT,DEPARTMENT OF POLICE,129666
ASST CORPORATION COUNSEL SUPVSR,DEPARTMENT OF LAW,154680
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,79974
BUILDING/CONSTRUCTION INSPECTOR,DEPT OF BUILDINGS,112668
CHIEF WATER ENGINEER,DEPT OF WATER MANAGEMENT,142116
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE,71436
PARKING INVESTIGATOR,DEPARTMENT OF FINANCE,82368
HELP DESK TECHNICIAN,CHICAGO PUBLIC LIBRARY,57240
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,108822
DETENTION AIDE,DEPARTMENT OF POLICE,82104
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER (ASSIGNED AS CANINE HANDLER),DEPARTMENT OF POLICE,110178
FILTRATION ENGINEER V,DEPT OF WATER MANAGEMENT,141624
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,68196
POLICE OFFICER,DEPARTMENT OF POLICE,97974
AIRPORT OPERATIONS SUPVSR II,DEPARTMENT OF AVIATION,102696
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
LIEUTENANT,DEPARTMENT OF POLICE,150318
WATER CHEMIST II,DEPT OF WATER MANAGEMENT,99480
BUSINESS CONSULTANT SUPERVISOR,BUS AFFAIRS AND CONSUMER PROT,75996
POLICE OFFICER,DEPARTMENT OF POLICE,104934
SERGEANT,DEPARTMENT OF POLICE,125634
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
LIEUTENANT,FIRE DEPARTMENT,127410
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ASST CORPORATION COUNSEL III,DEPARTMENT OF LAW,106704
SUPVSR OF ACCOUNTING,DEPARTMENT OF FINANCE,97260
POLICE OFFICER,DEPARTMENT OF POLICE,101412
CLERK IV,DEPARTMENT OF FINANCE,51372
DEPUTY COMMISSIONER,DEPARTMENT OF PUBLIC HEALTH,158316
HEAD LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,82500
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,101412
MANAGER OF FLEET SERVICES,DAIS,107616
ACCOUNTANT,FAMILY AND SUPPORT SERVICES,108996
PROJECTS ADMINISTRATOR,DEPT OF BUILDINGS,105624
POLICE OFFICER,DEPARTMENT OF POLICE,104934
CHIEF PROGRAMMER/ANALYST,DAIS,150828
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
ASST DIR,CITY CLERK,104496
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
LIEUTENANT-EMT,FIRE DEPARTMENT,126840
SR PROCUREMENT SPECIALIST,DEPARTMENT OF PROCUREMENT SERV,119436
COORDINATING ENGINEER I,CHICAGO DEPT OF TRANSPORTATION,117840
LIBRARIAN I,CHICAGO PUBLIC LIBRARY,90108
SERGEANT,DEPARTMENT OF POLICE,125634
PUBLIC HEALTH ADMINISTRATOR III,DEPARTMENT OF PUBLIC HEALTH,125292
ASST CORPORATION COUNSEL I,DEPARTMENT OF LAW,97260
CHIEF OPERATING ENGINEER,DEPT OF WATER MANAGEMENT,134888.04
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SUPPORT SERVICES COORD,FAMILY AND SUPPORT SERVICES,94824
FIREFIGHTER,FIRE DEPARTMENT,103914
FIREFIGHTER-EMT,FIRE DEPARTMENT,114570
POLICE OFFICER,DEPARTMENT OF POLICE,97974
MANAGER OF QUALITY ASSURANCE,DEPARTMENT OF PUBLIC HEALTH,92700
SENIOR PERFORMANCE ANALYST,DEPARTMENT OF POLICE,78000
SENIOR BUSINESS CONSULTANT,BUS AFFAIRS AND CONSUMER PROT,99360
POLICE OFFICER,DEPARTMENT OF POLICE,111966
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ANIMAL CONTROL OFFICER,COMM ANIMAL CARE AND CONTROL,46416
POLICE OFFICER,DEPARTMENT OF POLICE,101412
FIRE ENGINEER,FIRE DEPARTMENT,108096
ADMINISTRATIVE ASST II,DEPARTMENT OF PUBLIC HEALTH,82500
PROJECT COORD,FAMILY AND SUPPORT SERVICES,94704
LIEUTENANT,DEPARTMENT OF POLICE,145854
ADMINISTRATIVE ASST III,BUS AFFAIRS AND CONSUMER PROT,71052
POLICE AGENT,DEPARTMENT OF POLICE,117690
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,112500
SERGEANT,DEPARTMENT OF POLICE,129666
PUBLIC HEALTH ADMINISTRATOR III,DEPARTMENT OF PUBLIC HEALTH,114252
POLICE OFFICER,DEPARTMENT OF POLICE,111966
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,90036
SR PROJECT MGR - MAYOR'S OFFICE,OFFICE OF THE MAYOR,118452
POLICE OFFICER,DEPARTMENT OF POLICE,97974
CUSTOMER SERVICES SUPVSR,DEPARTMENT OF AVIATION,55512
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
LIEUTENANT-EMT,FIRE DEPARTMENT,130908
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
CHAIRPERSON - COMMISSION ON HUMAN RELATIONS,COMMISSION ON HUMAN RELATIONS,143808
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,97974
LIBRARY ASSOCIATE,CHICAGO PUBLIC LIBRARY,81816
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,101412
SENIOR BUSINESS CONSULTANT,BUS AFFAIRS AND CONSUMER PROT,99360
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,93264
LIBRARY ASSOCIATE,CHICAGO PUBLIC LIBRARY,60336
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
PROJECT MANAGER,DAIS,125088
POLICE OFFICER,DEPARTMENT OF POLICE,104934
ACCOUNTANT,DAIS,99360
POLICE OFFICER,DEPARTMENT OF POLICE,108822
POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),DEPARTMENT OF POLICE,114282
CAPTAIN-EMT,FIRE DEPARTMENT,151764
FIREFIGHTER,FIRE DEPARTMENT,103914
ASST TO THE ALDERMAN,CITY COUNCIL,80784
POLICE OFFICER,DEPARTMENT OF POLICE,97974
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,82092
LABORATORY TECHNICIAN III,DEPT OF WATER MANAGEMENT,53784
CLERK III - EXCLD,DEPARTMENT OF HUMAN RESOURCES,48720
CHIEF ASST CORPORATION COUNSEL,DEPARTMENT OF LAW,157284
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,125634
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
CAPTAIN-EMT,FIRE DEPARTMENT,151764
SERGEANT,DEPARTMENT OF POLICE,133860
POLICE OFFICER,DEPARTMENT OF POLICE,108822
PARKING ENFORCEMENT AIDE,DEPARTMENT OF FINANCE,65064
SUPVSR OF ACCOUNTING,DEPARTMENT OF FINANCE,111024
ELECTRICAL ENGINEER IV,CHICAGO DEPT OF TRANSPORTATION,107652
FIREFIGHTER-EMT,FIRE DEPARTMENT,102372
SR CLASSIFICATION AND COMPENSATION ANALYST,DEPARTMENT OF HUMAN RESOURCES,106152
PAYMENT SERVICES REPRESENTATIVE,CITY CLERK,78804
LIBRARIAN III,CHICAGO PUBLIC LIBRARY,74712
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,109704
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
PUBLIC HEALTH NURSE II,DEPARTMENT OF PUBLIC HEALTH,75492
POLICE OFFICER,DEPARTMENT OF POLICE,104934
GENERAL MANAGER OF OPERATIONS - O'HARE,DEPARTMENT OF AVIATION,127608
SENIOR EMERGENCY MANAGEMENT COORD,DEPARTMENT OF PUBLIC HEALTH,102996
PARAMEDIC I/C,FIRE DEPARTMENT,104430
POLICE OFFICER,DEPARTMENT OF POLICE,104934
LIEUTENANT-EMT,FIRE DEPARTMENT,122976
AUDITOR III,DEPARTMENT OF FINANCE,93804
FIRE ENGINEER-EMT,FIRE DEPARTMENT,114654
POLICE OFFICER (ASGND AS MARINE OFFICER),DEPARTMENT OF POLICE,114282
SUPERVISING PARALEGAL,DEPARTMENT OF LAW,103920
FIREFIGHTER (PER ARBITRATORS AWARD)-EMT,FIRE DEPARTMENT,118830
POLICE OFFICER,DEPARTMENT OF POLICE,97974
DOMESTIC VIOLENCE ADVOCATE,DEPARTMENT OF POLICE,59004
EMERGENCY MANAGEMENT COORD,DEPARTMENT OF AVIATION,68940
PARAMEDIC,FIRE DEPARTMENT,103914
POLICE OFFICER,DEPARTMENT OF POLICE,108822
ADMINISTRATIVE ASST TO DEPUTY CORPORATION COUNSEL,DEPARTMENT OF LAW,63780
POLICE OFFICER,DEPARTMENT OF POLICE,93264
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,84612
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,93264
YOUTH SERVICES COORD,FAMILY AND SUPPORT SERVICES,75624
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,101412
POLICE OFFICER,DEPARTMENT OF POLICE,93264
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,106170
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FIREFIGHTER-EMT,FIRE DEPARTMENT,94152
SERGEANT,DEPARTMENT OF POLICE,121806
SERGEANT,DEPARTMENT OF POLICE,121806
PARAMEDIC,FIRE DEPARTMENT,96528
SERGEANT,DEPARTMENT OF POLICE,133860
FIREFIGHTER-EMT,FIRE DEPARTMENT,98904
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
LIEUTENANT,FIRE DEPARTMENT,127410
INVESTIGATOR II - IG,IG,81552
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,78384
POLICE COMMUNICATIONS OPERATOR I,OFFICE OF EMERGENCY MANAGEMENT,86016
DIR OF COLLECTION PROCESSING,CITY CLERK,108864
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,101412
PARAMEDIC,FIRE DEPARTMENT,80448
FINANCIAL PLANNING ANALYST - EXCLD,DEPARTMENT OF PLANNING AND DEVELOPMENT,101580
SERGEANT,DEPARTMENT OF POLICE,121806
POLICE OFFICER,DEPARTMENT OF POLICE,97974
SERGEANT,DEPARTMENT OF POLICE,125634
MEDICAL SERVICES COORD - CPD,PUBLIC SAFETY ADMINISTRATION,64740
FINANCIAL PLANNING ANALYST - EXCLD,DEPT OF HOUSING,89076
HUMAN RESOURCES BUSINESS PARTNER-EXCLD,DEPARTMENT OF AVIATION,94704
POLICE OFFICER,DEPARTMENT OF POLICE,101412
SANITATION CLERK,DEPT STREETS AND SANITATION,77736
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,121140
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ATTORNEY,COPA,82500
POLICE OFFICER,DEPARTMENT OF POLICE,108822
SERGEANT,DEPARTMENT OF POLICE,125634
LEAD ACCOUNTANT,DEPARTMENT OF FINANCE,118632
CHIEF INVESTIGATOR (IG),IG,129636
FIREFIGHTER-EMT (RECRUIT),FIRE DEPARTMENT,94152
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ADMINISTRATIVE ASST II,CHICAGO PUBLIC LIBRARY,59004
HEAD LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,82500
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,61308
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
LIBRARIAN IV,CHICAGO PUBLIC LIBRARY,118632
POLICE OFFICER,DEPARTMENT OF POLICE,101412
ADMINISTRATIVE ASST II,CHICAGO PUBLIC LIBRARY,78804
COMM MAYORS OFF PEOPLE W DISABILITIES,MAYORS OFFICE-DISABILITIES,154188
ELDER PROTECTIVE INVESTIGATOR I,FAMILY AND SUPPORT SERVICES,61572
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,102906
POLICE OFFICER,DEPARTMENT OF POLICE,104934
ASST CORPORATION COUNSEL SENIOR,DEPARTMENT OF LAW,106704
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER / FLD TRNG OFFICER,DEPARTMENT OF POLICE,106464
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,56040
DETENTION AIDE,DEPARTMENT OF POLICE,62136
ASST DEPUTY CHIEF OF STAFF,OFFICE OF THE MAYOR,128856
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER,FIRE DEPARTMENT,99876
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,104934
AIRPORT OPERATIONS SUPVSR II,DEPARTMENT OF AVIATION,112668
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,56040
POLICE OFFICER,DEPARTMENT OF POLICE,56040
FREEDOM OF INFORMATION ACT OFFICER,DEPARTMENT OF POLICE,71052
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER (ASSIGNED AS DETECTIVE),DEPARTMENT OF POLICE,117690
POLICE OFFICER,DEPARTMENT OF POLICE,97974
LIBRARIAN III,CHICAGO PUBLIC LIBRARY,77052
PARAMEDIC,FIRE DEPARTMENT,62466
PRINCIPAL PROGRAMMER/ANALYST,PUBLIC SAFETY ADMINISTRATION,150828
LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,65388
FIREFIGHTER/PARAMEDIC,FIRE DEPARTMENT,87348
AVIATION SECURITY OFFICER,DEPARTMENT OF AVIATION,61308
POLICE OFFICER,DEPARTMENT OF POLICE,84522
CAPTAIN-EMT,FIRE DEPARTMENT,151764
CAPTAIN-EMT,FIRE DEPARTMENT,151764
POLICE OFFICER,DEPARTMENT OF POLICE,111966
FILTRATION ENGINEER II,DEPT OF WATER MANAGEMENT,77052
FIRE ENGINEER,FIRE DEPARTMENT,115308
POLICE OFFICER,DEPARTMENT OF POLICE,84522
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,88896
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER,DEPARTMENT OF POLICE,56040
ACCOUNTING TECHNICIAN,DEPARTMENT OF FINANCE,86436
FIREFIGHTER-EMT,FIRE DEPARTMENT,94152
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIREFIGHTER-EMT,FIRE DEPARTMENT,62466
FIREFIGHTER-EMT,FIRE DEPARTMENT,110196
HEAD LIBRARY CLERK,CHICAGO PUBLIC LIBRARY,82500
BUILDING/CONSTRUCTION INSPECTOR,DEPARTMENT OF PUBLIC HEALTH,84468
POLICE OFFICER,DEPARTMENT OF POLICE,104934
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
FIRE ENGINEER-EMT,FIRE DEPARTMENT,110766
POLICE OFFICER,DEPARTMENT OF POLICE,101412
SENIOR EMERGENCY MANAGEMENT COORD,OFFICE OF EMERGENCY MANAGEMENT,83028
POLICE OFFICER,DEPARTMENT OF POLICE,79974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
POLICE OFFICER,DEPARTMENT OF POLICE,97974
ASST GENERAL SUPT OF STREETS AND SANITATION,DEPT STREETS AND SANITATION,102900
LIBRARIAN II,CHICAGO PUBLIC LIBRARY,99480
STAFF ASST,FIRE DEPARTMENT,90540
CLERK IV,CHICAGO PUBLIC LIBRARY,75168
